# Time  Perpendicularity_Metric
2.25e-05 0
4.5e-05 0.133887
6.75e-05 0.130806
9e-05 0.130032
0.0001125 0.132075
0.000135 0.135295
0.0001575 0.137999
0.00018 0.140169
0.0002025 0.14328
0.000225 0.145944
0.0002475 0.149087
0.00027 0.152219
0.0002925 0.155656
0.000315 0.158997
0.0003375 0.162573
0.00036 0.165973
0.0003825 0.16929
0.000405 0.172362
0.0004275 0.175346
0.00045 0.178182
0.0004725 0.180954
0.000495 0.183581
0.0005175 0.186096
0.00054 0.188465
0.0005625 0.190727
0.000585 0.192871
0.0006075 0.194906
0.00063 0.196807
0.0006525 0.198607
0.000675 0.200309
0.0006975 0.201939
0.00072 0.203501
0.0007425 0.204983
0.000765 0.206379
0.0007875 0.207709
0.00081 0.208986
0.0008325 0.210207
0.000855 0.21137
0.0008775 0.212474
0.0009 0.213516
0.0009225 0.214491
0.000945 0.215393
0.0009675 0.216232
0.00099 0.217023
0.0010125 0.217772
0.001035 0.218488
0.0010575 0.219167
0.00108 0.219806
0.0011025 0.220406
0.001125 0.220926
0.0011475 0.221349
0.00117 0.221708
0.0011925 0.222041
0.001215 0.222365
0.0012375 0.222685
0.00126 0.223003
0.0012825 0.223309
0.001305 0.223608
0.0013275 0.223895
0.00135 0.22417
0.0013725 0.224432
0.001395 0.224681
0.0014175 0.224922
0.00144 0.225151
0.0014625 0.225371
0.001485 0.225579
0.0015075 0.225778
0.00153 0.225968
0.0015525 0.226145
0.001575 0.226316
0.0015975 0.226477
0.00162 0.226628
0.0016425 0.226768
0.001665 0.226897
0.0016875 0.22702
0.00171 0.22713
0.0017325 0.227228
0.001755 0.227316
0.0017775 0.227392
0.0018 0.227458
0.0018225 0.227514
0.001845 0.227564
0.0018675 0.227607
0.00189 0.227646
0.0019125 0.227682
0.001935 0.227714
0.0019575 0.227745
0.00198 0.227774
0.0020025 0.227802
0.002025 0.227827
0.0020475 0.227851
0.00207 0.227873
0.0020925 0.227893
0.002115 0.227912
0.0021375 0.227929
0.00216 0.227949
0.0021825 0.227973
0.002205 0.227998
0.0022275 0.228022
0.00225 0.228046
0.0022725 0.228072
0.002295 0.228098
0.0023175 0.228122
0.00234 0.228145
0.0023625 0.228165
0.002385 0.228181
0.0024075 0.228201
0.00243 0.228218
0.0024525 0.228231
0.002475 0.228242
0.0024975 0.228245
0.00252 0.22824
0.0025425 0.228227
0.002565 0.228209
0.0025875 0.228185
0.00261 0.228157
0.0026325 0.228123
0.002655 0.228088
0.0026775 0.228051
0.0027 0.228016
0.0027225 0.227979
0.002745 0.227947
0.0027675 0.22792
0.00279 0.227891
0.0028125 0.227871
0.002835 0.227864
0.0028575 0.227859
0.00288 0.227851
0.0029025 0.227843
0.002925 0.227834
0.0029475 0.227824
0.00297 0.227813
0.0029925 0.227801
0.003015 0.227788
0.0030375 0.227801
0.00306 0.227814
0.0030825 0.227834
0.003105 0.227855
0.0031275 0.227874
0.00315 0.227893
0.0031725 0.227916
0.003195 0.227943
0.0032175 0.22797
0.00324 0.227999
0.0032625 0.228039
0.003285 0.228086
0.0033075 0.228134
0.00333 0.228187
0.0033525 0.228244
0.003375 0.228305
0.0033975 0.228371
0.00342 0.228442
0.0034425 0.228521
0.003465 0.228607
0.0034875 0.228697
0.00351 0.228793
0.0035325 0.228895
0.003555 0.229003
0.0035775 0.229118
0.0036 0.229241
0.0036225 0.229372
0.003645 0.22951
0.0036675 0.229656
0.00369 0.229809
0.0037125 0.229969
0.003735 0.230133
0.0037575 0.230297
0.00378 0.230457
0.0038025 0.230608
0.003825 0.230747
0.0038475 0.230877
0.00387 0.230999
0.0038925 0.231114
0.003915 0.231226
0.0039375 0.23134
0.00396 0.231457
0.0039825 0.231577
0.004005 0.231705
0.0040275 0.231835
0.00405 0.231967
0.0040725 0.2321
0.004095 0.232231
0.0041175 0.232362
0.00414 0.23249
0.0041625 0.232619
0.004185 0.23275
0.0042075 0.232876
0.00423 0.232996
0.0042525 0.233114
0.004275 0.233224
0.0042975 0.233328
0.00432 0.233423
0.0043425 0.233511
0.004365 0.233589
0.0043875 0.23366
0.00441 0.233723
0.0044325 0.233779
0.004455 0.233829
0.0044775 0.233872
0.0045 0.23391
0.0045225 0.233941
0.004545 0.233967
0.0045675 0.233988
0.00459 0.234006
0.0046125 0.234021
0.004635 0.234031
0.0046575 0.234037
0.00468 0.234039
0.0047025 0.234037
0.004725 0.234032
0.0047475 0.234023
0.00477 0.234012
0.0047925 0.233999
0.004815 0.233984
0.0048375 0.233967
0.00486 0.233952
0.0048825 0.233936
0.004905 0.233919
0.0049275 0.233901
0.00495 0.233883
0.0049725 0.233864
