# Time  Perpendicularity_Metric
2.25e-05 0
4.5e-05 0.0164705
6.75e-05 0.015578
9e-05 0.0156185
0.0001125 0.0166744
0.000135 0.0171629
0.0001575 0.0177376
0.00018 0.0186323
0.0002025 0.0199847
0.000225 0.021404
0.0002475 0.0229409
0.00027 0.0241914
0.0002925 0.0255667
0.000315 0.0270267
0.0003375 0.0287049
0.00036 0.0304364
0.0003825 0.0323046
0.000405 0.0341662
0.0004275 0.0361305
0.00045 0.0382565
0.0004725 0.0405249
0.000495 0.0426632
0.0005175 0.0447331
0.00054 0.0469428
0.0005625 0.0494204
0.000585 0.0521345
0.0006075 0.0551106
0.00063 0.0581631
0.0006525 0.0611264
0.000675 0.0641003
0.0006975 0.0672275
0.00072 0.0704816
0.0007425 0.0738087
0.000765 0.0768139
0.0007875 0.0789055
0.00081 0.0809127
0.0008325 0.0829538
0.000855 0.0849648
0.0008775 0.0868673
0.0009 0.0887222
0.0009225 0.0905661
0.000945 0.0924658
0.0009675 0.0944758
0.00099 0.0965803
0.0010125 0.0987552
0.001035 0.100867
0.0010575 0.102974
0.00108 0.105155
0.0011025 0.107229
0.001125 0.10918
0.0011475 0.111095
0.00117 0.112413
0.0011925 0.11369
0.001215 0.114957
0.0012375 0.116118
0.00126 0.117145
0.0012825 0.118053
0.001305 0.118894
0.0013275 0.119722
0.00135 0.120549
0.0013725 0.121368
0.001395 0.122178
0.0014175 0.122965
0.00144 0.123725
0.0014625 0.124462
0.001485 0.125195
0.0015075 0.125934
0.00153 0.126689
0.0015525 0.127462
0.001575 0.12825
0.0015975 0.129049
0.00162 0.129854
0.0016425 0.130678
0.001665 0.13151
0.0016875 0.13235
0.00171 0.133199
0.0017325 0.134059
0.001755 0.134934
0.0017775 0.13582
0.0018 0.136707
0.0018225 0.137585
0.001845 0.138451
0.0018675 0.139296
0.00189 0.140119
0.0019125 0.14093
0.001935 0.141732
0.0019575 0.14253
0.00198 0.143327
0.0020025 0.144128
0.002025 0.144934
0.0020475 0.145746
0.00207 0.146567
0.0020925 0.147398
0.002115 0.148237
0.0021375 0.14908
0.00216 0.149928
0.0021825 0.15078
0.002205 0.151635
0.0022275 0.152494
0.00225 0.153354
0.0022725 0.154214
0.002295 0.155073
0.0023175 0.155934
0.00234 0.156796
0.0023625 0.157655
0.002385 0.158516
0.0024075 0.159377
0.00243 0.160242
0.0024525 0.161108
0.002475 0.161975
0.0024975 0.162841
0.00252 0.163709
0.0025425 0.164578
0.002565 0.165447
0.0025875 0.166316
0.00261 0.167184
0.0026325 0.168051
0.002655 0.168917
0.0026775 0.169782
0.0027 0.170646
0.0027225 0.171511
0.002745 0.172377
0.0027675 0.173244
0.00279 0.174109
0.0028125 0.174972
0.002835 0.175833
0.0028575 0.176692
0.00288 0.177548
0.0029025 0.1784
0.002925 0.179249
0.0029475 0.180093
0.00297 0.180933
0.0029925 0.181769
0.003015 0.182602
0.0030375 0.18343
0.00306 0.184253
0.0030825 0.185073
0.003105 0.18589
0.0031275 0.186703
0.00315 0.187512
0.0031725 0.188316
0.003195 0.189117
0.0032175 0.189914
0.00324 0.190706
0.0032625 0.191493
0.003285 0.192274
0.0033075 0.19305
0.00333 0.193818
0.0033525 0.19458
0.003375 0.195334
0.0033975 0.196081
0.00342 0.19682
0.0034425 0.197551
0.003465 0.198325
0.0034875 0.19909
0.00351 0.199836
0.0035325 0.200568
0.003555 0.201291
0.0035775 0.202003
0.0036 0.202704
0.0036225 0.203393
0.003645 0.204065
0.0036675 0.204714
0.00369 0.205333
0.0037125 0.205921
0.003735 0.206482
0.0037575 0.20702
0.00378 0.207544
0.0038025 0.20806
0.003825 0.208572
0.0038475 0.20908
0.00387 0.209585
0.0038925 0.210088
0.003915 0.210592
0.0039375 0.211095
0.00396 0.211594
0.0039825 0.212092
0.004005 0.212588
0.0040275 0.213082
0.00405 0.213573
0.0040725 0.214061
0.004095 0.214544
0.0041175 0.215023
0.00414 0.215498
0.0041625 0.215969
0.004185 0.216436
0.0042075 0.216902
0.00423 0.217374
0.0042525 0.217843
0.004275 0.218317
0.0042975 0.218792
0.00432 0.219263
0.0043425 0.219733
0.004365 0.220201
0.0043875 0.220664
0.00441 0.221124
0.0044325 0.22158
0.004455 0.222031
0.0044775 0.222478
0.0045 0.222922
0.0045225 0.223361
0.004545 0.223796
0.0045675 0.224226
0.00459 0.224651
0.0046125 0.225074
0.004635 0.225492
0.0046575 0.225906
0.00468 0.226314
0.0047025 0.226716
0.004725 0.227114
0.0047475 0.227508
0.00477 0.227898
0.0047925 0.228282
0.004815 0.228661
0.0048375 0.229035
0.00486 0.229403
0.0048825 0.229766
0.004905 0.230124
0.0049275 0.230477
0.00495 0.230824
0.0049725 0.231166
0.004995 0.231504
0.0050175 0.231836
0.00504 0.232164
0.0050625 0.232489
0.005085 0.232812
0.0051075 0.233132
0.00513 0.233447
0.0051525 0.233759
0.005175 0.234074
0.0051975 0.23439
0.00522 0.234701
0.0052425 0.235009
0.005265 0.235313
0.0052875 0.235615
0.00531 0.235912
0.0053325 0.236205
0.005355 0.236495
0.0053775 0.236781
0.0054 0.237062
0.0054225 0.23734
0.005445 0.237614
0.0054675 0.237884
0.00549 0.238151
0.0055125 0.238414
0.005535 0.238673
0.0055575 0.238928
0.00558 0.23918
0.0056025 0.239429
0.005625 0.239675
0.0056475 0.239919
0.00567 0.240159
0.0056925 0.240395
0.005715 0.240628
0.0057375 0.240857
0.00576 0.241083
0.0057825 0.241305
0.005805 0.241525
0.0058275 0.241741
0.00585 0.241955
0.0058725 0.242166
0.005895 0.242375
0.0059175 0.242581
0.00594 0.242785
0.0059625 0.242985
0.005985 0.243182
0.0060075 0.243376
0.00603 0.243566
0.0060525 0.243754
0.006075 0.243939
0.0060975 0.244121
0.00612 0.2443
0.0061425 0.244476
0.006165 0.244649
0.0061875 0.244819
0.00621 0.244986
0.0062325 0.245149
0.006255 0.24531
0.0062775 0.245468
0.0063 0.245623
0.0063225 0.245775
0.006345 0.245924
0.0063675 0.246071
0.00639 0.246215
0.0064125 0.246357
0.006435 0.246497
0.0064575 0.246634
0.00648 0.246769
0.0065025 0.246901
0.006525 0.24703
0.0065475 0.247157
0.00657 0.247281
0.0065925 0.247402
0.006615 0.24752
0.0066375 0.247636
0.00666 0.247749
0.0066825 0.24786
0.006705 0.247968
0.0067275 0.248075
0.00675 0.248179
0.0067725 0.248281
0.006795 0.24838
0.0068175 0.248476
0.00684 0.248571
0.0068625 0.248662
0.006885 0.248751
0.0069075 0.248838
0.00693 0.248921
0.0069525 0.249003
0.006975 0.249081
0.0069975 0.249157
0.00702 0.249231
0.0070425 0.249302
0.007065 0.249371
0.0070875 0.249437
0.00711 0.249501
0.0071325 0.249563
0.007155 0.249622
0.0071775 0.249678
0.0072 0.249732
0.0072225 0.249784
0.007245 0.249833
0.0072675 0.249881
0.00729 0.249926
0.0073125 0.249969
0.007335 0.25001
0.0073575 0.250048
0.00738 0.250084
0.0074025 0.250118
0.007425 0.250149
0.0074475 0.250179
0.00747 0.250206
0.0074925 0.250231
0.007515 0.250254
0.0075375 0.250274
0.00756 0.250293
0.0075825 0.250309
0.007605 0.250326
0.0076275 0.250342
0.00765 0.250355
0.0076725 0.250366
0.007695 0.250375
0.0077175 0.250382
0.00774 0.250387
0.0077625 0.250391
0.007785 0.250393
0.0078075 0.250393
0.00783 0.250391
0.0078525 0.250388
0.007875 0.250383
0.0078975 0.250376
0.00792 0.250367
0.0079425 0.250356
0.007965 0.250343
0.0079875 0.250328
0.00801 0.250313
0.0080325 0.250295
0.008055 0.250276
0.0080775 0.250254
0.0081 0.250231
0.0081225 0.250206
0.008145 0.250179
0.0081675 0.250153
0.00819 0.250125
0.0082125 0.250095
0.008235 0.250063
0.0082575 0.25003
0.00828 0.249997
0.0083025 0.249963
0.008325 0.249927
0.0083475 0.249889
0.00837 0.24985
0.0083925 0.249809
0.008415 0.249767
0.0084375 0.249723
0.00846 0.249677
0.0084825 0.24963
0.008505 0.249581
0.0085275 0.249531
0.00855 0.249479
0.0085725 0.249427
0.008595 0.249373
0.0086175 0.249317
0.00864 0.249262
0.0086625 0.249205
0.008685 0.249146
0.0087075 0.249087
0.00873 0.249025
0.0087525 0.248963
0.008775 0.248899
0.0087975 0.248835
0.00882 0.248771
0.0088425 0.248705
0.008865 0.248638
0.0088875 0.24857
0.00891 0.2485
0.0089325 0.24843
0.008955 0.248359
0.0089775 0.248287
0.009 0.248213
0.0090225 0.248138
0.009045 0.248061
0.0090675 0.247983
0.00909 0.247904
0.0091125 0.247824
0.009135 0.247743
0.0091575 0.24766
0.00918 0.247576
0.0092025 0.247491
0.009225 0.247404
0.0092475 0.247316
0.00927 0.247227
0.0092925 0.247137
0.009315 0.247045
0.0093375 0.246952
0.00936 0.246858
0.0093825 0.246762
0.009405 0.246665
0.0094275 0.246568
0.00945 0.246469
0.0094725 0.24637
0.009495 0.24627
0.0095175 0.246168
0.00954 0.246066
0.0095625 0.245963
