# Time  Perpendicularity_Metric
2.25e-05 0
4.5e-05 0.0197711
6.75e-05 0.0199374
9e-05 0.0201919
0.0001125 0.0214436
0.000135 0.0223802
0.0001575 0.0242748
0.00018 0.025617
0.0002025 0.0276829
0.000225 0.0294332
0.0002475 0.0314556
0.00027 0.0332603
0.0002925 0.0352519
0.000315 0.0373751
0.0003375 0.0397023
0.00036 0.042009
0.0003825 0.0442454
0.000405 0.0465164
0.0004275 0.0488059
0.00045 0.051027
0.0004725 0.0533285
0.000495 0.0556682
0.0005175 0.0581999
0.00054 0.0608076
0.0005625 0.0634245
0.000585 0.0660625
0.0006075 0.0689202
0.00063 0.0719446
0.0006525 0.0750132
0.000675 0.0782072
0.0006975 0.0817194
0.00072 0.0855194
0.0007425 0.0894349
0.000765 0.0928198
0.0007875 0.0958138
0.00081 0.0981014
0.0008325 0.0997532
0.000855 0.101155
0.0008775 0.102028
0.0009 0.102853
0.0009225 0.103627
0.000945 0.104351
0.0009675 0.104946
0.00099 0.105544
0.0010125 0.105858
0.001035 0.106524
0.0010575 0.107336
0.00108 0.108145
0.0011025 0.108951
0.001125 0.109817
0.0011475 0.110731
0.00117 0.111661
0.0011925 0.11261
0.001215 0.113595
0.0012375 0.114602
0.00126 0.115623
0.0012825 0.116676
0.001305 0.117779
0.0013275 0.118949
0.00135 0.120143
0.0013725 0.121206
0.001395 0.122135
0.0014175 0.122994
0.00144 0.123789
0.0014625 0.124516
0.001485 0.125216
0.0015075 0.125971
0.00153 0.126754
0.0015525 0.127574
0.001575 0.128421
0.0015975 0.12929
0.00162 0.130172
0.0016425 0.131058
0.001665 0.131945
0.0016875 0.13284
0.00171 0.133745
0.0017325 0.13466
0.001755 0.135589
0.0017775 0.136529
0.0018 0.137486
0.0018225 0.138457
0.001845 0.139448
0.0018675 0.140457
0.00189 0.141474
0.0019125 0.142497
0.001935 0.143525
0.0019575 0.144558
0.00198 0.145594
0.0020025 0.146631
0.002025 0.147674
0.0020475 0.148721
0.00207 0.14977
0.0020925 0.150822
0.002115 0.151877
0.0021375 0.152929
0.00216 0.153979
0.0021825 0.155029
0.002205 0.156081
0.0022275 0.157134
0.00225 0.158186
0.0022725 0.159235
0.002295 0.160286
0.0023175 0.161336
0.00234 0.16238
0.0023625 0.163412
0.002385 0.164431
0.0024075 0.165429
0.00243 0.166405
0.0024525 0.167368
0.002475 0.168325
0.0024975 0.169279
0.00252 0.170234
0.0025425 0.171189
0.002565 0.172144
0.0025875 0.173098
0.00261 0.174049
0.0026325 0.174998
0.002655 0.175942
0.0026775 0.176884
0.0027 0.177821
0.0027225 0.178754
0.002745 0.179686
0.0027675 0.18062
0.00279 0.181547
0.0028125 0.182469
0.002835 0.183386
0.0028575 0.184303
0.00288 0.185214
0.0029025 0.186121
0.002925 0.18702
0.0029475 0.187913
0.00297 0.1888
0.0029925 0.189683
0.003015 0.190561
0.0030375 0.191433
0.00306 0.192296
0.0030825 0.193155
0.003105 0.194012
0.0031275 0.194862
0.00315 0.195704
0.0031725 0.196537
0.003195 0.197363
0.0032175 0.19818
0.00324 0.198988
0.0032625 0.199789
0.003285 0.200581
0.0033075 0.201369
0.00333 0.20215
0.0033525 0.202923
0.003375 0.20369
0.0033975 0.20445
0.00342 0.205204
0.0034425 0.20595
0.003465 0.206689
0.0034875 0.207421
0.00351 0.208142
0.0035325 0.208854
0.003555 0.209556
0.0035775 0.210249
0.0036 0.210934
0.0036225 0.211611
0.003645 0.212281
0.0036675 0.212945
0.00369 0.213603
0.0037125 0.214254
0.003735 0.2149
0.0037575 0.21554
0.00378 0.216176
0.0038025 0.216809
0.003825 0.217438
0.0038475 0.218061
0.00387 0.218679
0.0038925 0.219292
0.003915 0.219899
0.0039375 0.220501
0.00396 0.221099
0.0039825 0.221692
0.004005 0.222279
0.0040275 0.22286
0.00405 0.223437
0.0040725 0.224008
0.004095 0.224574
0.0041175 0.225136
0.00414 0.225692
0.0041625 0.226242
0.004185 0.226787
0.0042075 0.227326
0.00423 0.227859
0.0042525 0.228386
0.004275 0.228907
0.0042975 0.229424
0.00432 0.229934
0.0043425 0.230439
0.004365 0.230938
0.0043875 0.231431
0.00441 0.231918
0.0044325 0.232401
0.004455 0.232878
0.0044775 0.23335
0.0045 0.233818
0.0045225 0.234281
0.004545 0.234738
0.0045675 0.23519
0.00459 0.235637
0.0046125 0.236078
0.004635 0.236514
0.0046575 0.236945
0.00468 0.237372
0.0047025 0.237794
0.004725 0.238212
0.0047475 0.238629
0.00477 0.239041
0.0047925 0.239448
0.004815 0.239851
0.0048375 0.240251
0.00486 0.240649
0.0048825 0.241042
0.004905 0.241432
0.0049275 0.241817
0.00495 0.242198
0.0049725 0.242575
0.004995 0.242947
0.0050175 0.243315
0.00504 0.243679
0.0050625 0.244038
0.005085 0.244394
0.0051075 0.244746
0.00513 0.245094
0.0051525 0.24544
0.005175 0.245781
0.0051975 0.246119
0.00522 0.246453
0.0052425 0.246785
0.005265 0.247117
0.0052875 0.247445
0.00531 0.247769
0.0053325 0.248091
0.005355 0.24841
0.0053775 0.248725
0.0054 0.249037
0.0054225 0.249346
0.005445 0.249651
0.0054675 0.249952
0.00549 0.250249
0.0055125 0.250545
0.005535 0.250838
0.0055575 0.25113
0.00558 0.251418
0.0056025 0.251703
0.005625 0.251984
0.0056475 0.252262
0.00567 0.252537
0.0056925 0.252808
0.005715 0.253076
0.0057375 0.25334
0.00576 0.253602
0.0057825 0.25386
0.005805 0.254115
0.0058275 0.254366
0.00585 0.254615
0.0058725 0.25486
0.005895 0.255103
0.0059175 0.255342
0.00594 0.255577
0.0059625 0.25581
0.005985 0.256041
0.0060075 0.256269
0.00603 0.256495
0.0060525 0.256718
0.006075 0.256937
0.0060975 0.257155
0.00612 0.257369
0.0061425 0.25758
0.006165 0.257788
0.0061875 0.257993
0.00621 0.258195
0.0062325 0.258393
0.006255 0.25859
0.0062775 0.258782
0.0063 0.258974
0.0063225 0.259163
0.006345 0.259349
0.0063675 0.259534
0.00639 0.259716
0.0064125 0.259895
0.006435 0.260071
0.0064575 0.260244
0.00648 0.260414
0.0065025 0.260581
0.006525 0.260746
0.0065475 0.260908
0.00657 0.261067
0.0065925 0.261224
0.006615 0.261378
0.0066375 0.26153
0.00666 0.261679
0.0066825 0.261826
0.006705 0.26197
0.0067275 0.26212
0.00675 0.262276
0.0067725 0.262428
0.006795 0.262579
0.0068175 0.262729
0.00684 0.262876
0.0068625 0.263021
0.006885 0.263163
0.0069075 0.263302
0.00693 0.263438
0.0069525 0.263573
0.006975 0.263704
0.0069975 0.263833
0.00702 0.263959
0.0070425 0.264083
0.007065 0.264204
0.0070875 0.264323
0.00711 0.264439
0.0071325 0.264553
0.007155 0.264664
0.0071775 0.264773
0.0072 0.264879
0.0072225 0.264984
0.007245 0.265086
0.0072675 0.265186
0.00729 0.265285
0.0073125 0.265381
0.007335 0.265475
0.0073575 0.265567
0.00738 0.265656
0.0074025 0.265743
0.007425 0.265828
0.0074475 0.26591
0.00747 0.265989
0.0074925 0.266066
0.007515 0.266141
0.0075375 0.266213
0.00756 0.266283
0.0075825 0.266353
0.007605 0.266421
0.0076275 0.266486
0.00765 0.266548
0.0076725 0.266609
0.007695 0.266669
0.0077175 0.266728
0.00774 0.266784
0.0077625 0.266838
0.007785 0.26689
0.0078075 0.266939
0.00783 0.266987
0.0078525 0.267032
0.007875 0.267075
0.0078975 0.267116
0.00792 0.267155
0.0079425 0.267192
0.007965 0.267227
0.0079875 0.267261
0.00801 0.267292
0.0080325 0.267323
0.008055 0.267351
0.0080775 0.267379
0.0081 0.267404
0.0081225 0.267428
0.008145 0.26745
0.0081675 0.267471
0.00819 0.267491
0.0082125 0.26751
0.008235 0.267527
0.0082575 0.267543
0.00828 0.267558
0.0083025 0.267571
0.008325 0.267582
0.0083475 0.267592
0.00837 0.267599
0.0083925 0.267604
0.008415 0.267605
0.0084375 0.2676
0.00846 0.267587
0.0084825 0.267568
0.008505 0.267543
0.0085275 0.267512
0.00855 0.267474
0.0085725 0.267431
0.008595 0.267384
0.0086175 0.267335
0.00864 0.267284
0.0086625 0.267232
0.008685 0.267179
0.0087075 0.267126
0.00873 0.267071
0.0087525 0.267017
0.008775 0.266962
0.0087975 0.266906
0.00882 0.26685
0.0088425 0.266793
0.008865 0.266735
0.0088875 0.266677
0.00891 0.266617
0.0089325 0.266559
0.008955 0.2665
0.0089775 0.266439
0.009 0.266378
0.0090225 0.266315
0.009045 0.266251
0.0090675 0.266185
0.00909 0.266118
0.0091125 0.26605
0.009135 0.265985
0.0091575 0.265919
0.00918 0.265852
0.0092025 0.265783
0.009225 0.265713
0.0092475 0.265641
0.00927 0.265568
0.0092925 0.265494
0.009315 0.265417
0.0093375 0.265339
0.00936 0.26526
0.0093825 0.265179
0.009405 0.265097
0.0094275 0.265013
0.00945 0.264929
0.0094725 0.264843
0.009495 0.264759
0.0095175 0.264674
0.00954 0.264588
0.0095625 0.2645
0.009585 0.264411
0.0096075 0.264321
0.00963 0.26423
0.0096525 0.264136
0.009675 0.264041
0.0096975 0.263945
0.00972 0.263847
0.0097425 0.263748
0.009765 0.263646
0.0097875 0.263544
0.00981 0.26344
0.0098325 0.263334
0.009855 0.263226
0.0098775 0.263118
0.0099 0.263007
0.0099225 0.262895
0.009945 0.262782
0.0099675 0.262667
0.00999 0.262552
0.0100125 0.262434
0.010035 0.262315
0.0100575 0.262194
0.01008 0.262071
0.0101025 0.261948
0.010125 0.261822
0.0101475 0.261695
0.01017 0.261568
0.0101925 0.26144
0.010215 0.261311
0.0102375 0.26118
0.01026 0.261048
0.0102825 0.260914
0.010305 0.26078
0.0103275 0.260645
0.01035 0.260509
0.0103725 0.260371
0.010395 0.260232
0.0104175 0.260092
0.01044 0.259952
0.0104625 0.25981
0.010485 0.259667
0.0105075 0.259523
0.01053 0.259377
